지자체이름,날짜,요일숫자,요일한글,방문객숫자,방문객한글,방문자수
전라북도,20210826,4,목요일,2,외지인(b),200018
전라북도,20210827,5,금요일,2,외지인(b),215015.5
전라북도,20210828,6,토요일,2,외지인(b),311591
전라북도,20210829,7,일요일,2,외지인(b),278040
전라북도,20210830,1,월요일,2,외지인(b),201820.5
전라북도,20210901,3,수요일,2,외지인(b),134785
전라북도,20210902,4,목요일,2,외지인(b),150377.5
전라북도,20210903,5,금요일,2,외지인(b),194817
전라북도,20210904,6,토요일,2,외지인(b),318003
전라북도,20210905,7,일요일,2,외지인(b),285173
전라북도,20210906,1,월요일,2,외지인(b),159124
전라북도,20210907,2,화요일,2,외지인(b),155162
전라북도,20210908,3,수요일,2,외지인(b),171846.5
전라북도,20210909,4,목요일,2,외지인(b),185773
전라북도,20210910,5,금요일,2,외지인(b),215096
전라북도,20210911,6,토요일,2,외지인(b),330400
전라북도,20210912,7,일요일,2,외지인(b),294927.5
전라북도,20210913,1,월요일,2,외지인(b),188398
전라북도,20210914,2,화요일,2,외지인(b),184240
전라북도,20210915,3,수요일,2,외지인(b),185223.5
전라북도,20210916,4,목요일,2,외지인(b),191492
전라북도,20210917,5,금요일,2,외지인(b),226621.5
전라북도,20210918,6,토요일,2,외지인(b),421029
전라북도,20210919,7,일요일,2,외지인(b),597856
전라북도,20210920,1,월요일,2,외지인(b),688313.5
전라북도,20210921,2,화요일,2,외지인(b),703923.5
전라북도,20210922,3,수요일,2,외지인(b),419730.5
전라북도,20210923,4,목요일,2,외지인(b),235991
전라북도,20210924,5,금요일,2,외지인(b),233212
전라북도,20210925,6,토요일,2,외지인(b),304447.5
전라북도,20210926,7,일요일,2,외지인(b),284732
전라북도,20210927,1,월요일,2,외지인(b),199668
